ISBN,分類,類型,系列名稱,書名,作者,簡介,出版社,語言,頁數,售價,庫存,封面連結複製用,封面連結
999-000-057849-7,文學小說類,小說,歲時風物志,春水遊鯉,清笛吹夜,江南水鄉，春意初萌，萬物復甦。故事的主人公阿鯉，是個在碧波蕩漾的湖畔長大的純真少女，她的靈動如同初春的魚兒般自由自在。然而，一場突如其來的變故，讓她原本寧靜的生活掀起波瀾。一位身世成謎的年輕畫師，帶著一幅殘缺的畫卷來到她的家鄉，畫中隱藏著一段與阿鯉身世息息相關的秘密。在春日美景的掩映下，兩人命運般地相遇，懵懂的情愫在彼此心中悄然滋長。但隨著秘密逐漸浮出水面，他們不僅要面對家族的恩怨糾葛，更要承受命運的捉弄。春水初生，情亦萌動，這段在江南煙雨中展開的緣分，將如何經受住重重考驗？,墨韻文化,中文,1024,499,229,https://lh3.googleusercontent.com/pw/AP1GczPCJ8LWZwCLfW0LwgECfUmMgButp2CMOa17kc4eBt128WVN6o82cHp8jd1okvUF_Oolhvm3PvqcqrJgkhXyY2ZniTBkKj98QCQWsEGPqV_8qXY6r0opOCNOLOWzq4jqXekt4dO1U5Z25f5ZG61cab5O=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-627811-1,文學小說類,小說,歲時風物志,夏木幽亭,清笛吹夜,盛夏時節，酷暑難耐。阿鯉與畫師歷經春日的波折，情意漸濃。為了尋找解開身世之謎的關鍵線索，他們來到了一座隱匿於深山老林中的古老涼亭。亭中，他們遇到了一位神秘的隱士，這位隱士似乎知曉一切，卻又語焉不詳。夏日的蟬鳴喧囂，掩蓋不住暗流湧動的危機。與此同時，追尋畫卷秘密的勢力也悄然逼近。在茂密的夏木掩映下，他們的愛情面臨著外界的壓力和內心的掙扎。盛夏的熱烈，如同他們炙熱的情感，卻也預示著即將到來的風暴。,墨韻文化,中文,1314,499,233,https://lh3.googleusercontent.com/pw/AP1GczOAv8iBs3DOiDpLSwhoQyinHiR3IN688C0xKlSt5llQM5mDR13BIWz06KCrENX3OXmyKKth_MIAODt_jELUaNhGZ6-dQ8nt5SoBtf2zN8kwcsEJqwSDk-MjDOMQ0D2X5Lc3lq3wvUkj6t8gLwx56t-a=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-767122-9,文學小說類,小說,歲時風物志,秋山煙嵐,清笛吹夜,秋意蕭瑟，落葉紛飛。為了躲避追蹤，阿鯉與畫師輾轉來到了一片被煙霧繚繞的秋山之中。在這裡，他們暫時獲得了喘息之機，卻也感受到了前所未有的孤寂。畫師的身世之謎逐漸清晰，卻也指向更加令人震驚的真相。阿鯉的身世也並非她所認為的那般簡單。秋山的寒意，如同他們內心的不安與迷茫。他們開始懷疑身邊的一切，甚至彼此之間也產生了隔閡。在漫山紅葉的映襯下，他們的愛情如同秋日的落葉般，面臨著凋零的危機。他們能否在迷霧中堅守彼此的真心，找到最終的真相？,墨韻文化,中文,1144,499,245,https://lh3.googleusercontent.com/pw/AP1GczN5I0cA84A3a9sQUyWTFBq0_iewuhH0M-kHLkUMAcvd3EbLElImVF_QJGN3uBk71cQdRB1ytboS9tKRDQo0SbmUzkYjw916pHrpQ6lH-Hax6MUyfJScN1BZtJerujkVRz8PnQC4HwhnVeubt5n0RwDV=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-519277-8,文學小說類,小說,歲時風物志,冬日翠峰,清笛吹夜,寒冬降臨，大雪封山。歷經春夏秋的波折與考驗，阿鯉與畫師終於來到了故事的終點——那座在皚皚白雪中依然挺拔的翠峰。所有的謎團都將在這裡揭開，所有的恩怨都將在這裡了結。他們將面對最終的敵人，以及命運最嚴峻的挑戰。冬日的嚴寒，如同他們所承受的痛苦與磨難，卻也孕育著破冰而出的希望。他們能否如同寒冬中的翠竹般堅韌不屈，攜手迎接最終的結局？這段始於春水，經歷夏木，輾轉秋山的情緣，將在冬日的翠峰之巔，畫上怎樣的句點？,墨韻文化,中文,1254,499,59,https://lh3.googleusercontent.com/pw/AP1GczOTbPPf1mw8a5enAzOrpZbWwQrblIVdAdDNhkdY-gr42oqpNaL933LiRphFkP4YZmB1t7ApkR0ZrqgVVsyzsgQ-0B1UEp-MsTNDIuFchnCJ8rXvbDhUBFHos0SiSq67GNCv6DFaaadAJa8OdWfdQZWM=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-841618-9,文學小說類,散文,,繁花樹下的凝眸,花影池畔,春末夏初，百花盛開。一座古老的庭院裡，繁盛的花朵如同錦繡般鋪展開來，香氣氤氳。故事的主人公是一位深閨女子，她擁有絕世的容顏，卻被禁錮在這座看似華麗的牢籠之中。她的生活如同庭院中的花朵，美麗卻也孤寂。偶然間，一位年輕的詩人闖入了她的視野，他的才情與溫柔如同和煦的春風，吹動了她沉寂的心弦。兩人透過詩詞往來，情愫暗生。然而，身份的懸殊，禮教的束縛，如同庭院中無形的牆垣，阻隔著他們的靠近。花影池畔以其細膩的女性視角，描繪了深閨女子的渴望與掙扎，以及在繁花盛開的表象下，那份小心翼翼卻又熱烈的情感。,知行書坊,中文,784,551,206,https://lh3.googleusercontent.com/pw/AP1GczPV2onMGGBTDxqKmu7tE822jjJZhKXlpaU75-5zXr2KBAkBXna1iIG9Ijt52dAMuyLFguRFuhC7QR8BWV6bjT76ojg0Yi3xEPP1y4tl96id0Izz1-LtAKOU2e7xF9XWSXLdW6DOkuJm46jIn-e7kFjk=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-088191-0,文學小說類,小說,,焰心,虛白,在一個充滿神秘力量的世界裡，主人公是一位天生擁有操控火焰能力的少女。她的火焰不僅熾熱，更蘊含著強大的毀滅與創造之力。然而，這種異於常人的能力卻為她帶來了無盡的恐懼與排斥。她如同孤獨的焰火，在黑暗中獨自燃燒。一次意外，她被迫捲入一場關乎世界命運的紛爭之中。為了尋找自己的歸屬，也為了保護自己所珍視的一切，她踏上了一段充滿艱辛與挑戰的旅程。虛白以其充滿張力的文字，描繪了一個充滿奇幻色彩的世界，以及少女在熊熊烈火中尋找自我與救贖的故事。,知行書坊,中文,849,748,75,https://lh3.googleusercontent.com/pw/AP1GczMvIxjPNQ8qqDjisgG-Y5cWUlrZyGAXxn7i3HPHk4JnQJckLHA4IvWXN42ncgR682KQqPQksnPpttlq2EapM_WV3Chl50Q4kPb719UCk9uBQgykIEteUFCcq4a3dJ60DTGZD3Jo2-VM6goQKe0w-tUX=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-428047-0,文學小說類,小說,榮光編年史,星界先鋒,虛白,在人類文明的疆域擴展至無垠星海的時代，年輕的主人公懷揣著對未知的憧憬，加入了星界先鋒的行列。他渴望探索宇宙的奧秘，證明自己的價值。然而，初次踏入冰冷的宇宙深空，他所面對的不僅是未知的環境和潛在的危險，更是自身能力的不足和經驗的匱乏。一次深入未知星系的探索任務中，他意外觸及了古老文明的遺跡，強大的力量與未知的知識向他湧來，也讓他意識到宇宙的深邃與自身的渺小。在迷茫與挑戰中，他必須不斷學習、成長，才能在危機四伏的星海中找到自己的方向，並肩負起先鋒者的責任。虛白以其充滿未來感的筆觸，描繪了主人公在廣袤宇宙中的初次試煉與蛻變，以及在探索未知中不斷成長的歷程。,知行書坊,中文,963,711,242,https://lh3.googleusercontent.com/pw/AP1GczNI8yPBvbuyfH4APmE1RUGq0buKttiLttVLkHwdiOkLDwe4HsH4g2Q46Cqdajf2Pk5-Jhvd2LRBzVArMb3pvfBjubLqVhIBB3kTAmKad2U4lAEbLxAPG_P254_2FLQMA5W7SEUWkDZpR3iEGGCKQMZn=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-363003-4,文學小說類,小說,榮光編年史,聖堂騎士,虛白,經歷了星界探索的洗禮，昔日的先鋒已成長為肩負重任的聖堂騎士。他不僅掌握了先進的科技力量，更在與未知文明的接觸中，領悟到古老信仰與精神力量的重要性。然而，當一股來自異維度的黑暗力量開始侵蝕人類世界時，他發現僅憑個人的力量遠遠不夠。他必須學會領導、信任同伴，並在堅守信仰的同時，擁抱變革。這是一段關於責任與犧牲的旅程，主人公將在與強大敵人的戰鬥中不斷突破自我，理解真正的守護並非僅僅是力量，更是信念與傳承。虛白以其宏大的敘事和深刻的筆觸，描繪了主人公從青澀走向成熟，最終成長為人類文明堅實守護者的史詩故事。,知行書坊,中文,1159,711,202,https://lh3.googleusercontent.com/pw/AP1GczP8FyFOY-KTN7PbR3Cka22b-k2107k88E3ynVca64N8UJJkn_1Ks7Lo85LPQqBmGRXQlIfQZnqCCy6tUdV8Bom18eF62BAiBg1ZO_LcDqGd3UjFJbcEjmpsQKcORR_qfYeFjDV-4Siw2WZqs6rJ2hVa=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-626340-3,文學小說類,散文,,龍騰街市,墨韻山河,在一個充滿東方奇幻色彩的古代都城中，夜幕降臨，華燈初上，喧囂的街市如同甦醒的巨龍，散發出勃勃生機。主人公是一位身懷絕技的年輕俠客，他隱匿於市井之中，行俠仗義，守護著這片看似繁華的土地下的正義。然而，繁榮的表面下，卻暗流湧動，權貴的陰謀，江湖的恩怨，都如同潛伏的蛟龍，伺機而動。一次偶然的事件，將他捲入了一場牽涉到整個都城安危的巨大陰謀之中。墨韻山河以其生動的筆觸，描繪了古代都城的市井風情和江湖百態，以及主人公在龍蛇混雜的環境中，如何運用智慧與武力，守護心中的道義。,知行書坊,中文,879,948,219,https://lh3.googleusercontent.com/pw/AP1GczMjuhXxq1gnxcBuEzoEJD1JLtBUMrG74XVUxc__xTEDUronSQ86bBVNejfk6ywwhTUtJJuss4s7QU7ykPjWb42paUCl7Y5RsFYYah8BMHLLoNDY3Zq43nQk0AZQYrSZUBlN_6POpMqHDu9pOE-CFgG9=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-840731-7,文學小說類,散文,,夜色水巷,廢墟中的堅毅,夜色如墨，籠罩著古老的水鄉。狹窄的水巷中，燈火搖曳，倒映在緩緩流動的河水中，如同點點星光。主人公是一位在戰火中失去家園的女子，她如同漂泊的浮萍，在殘垣斷壁中艱難求生。曾經繁華的家園已成廢墟，昔日的美好記憶如同夜色中的幻影，觸不可及。然而，在絕望的陰影中，一絲微弱的希望之光正在悄然燃起。她在廢墟中遇到了一位同樣身受創傷的男子，兩個破碎的靈魂在寒冷的夜色中相互依偎，尋求著一絲溫暖與慰藉。廢墟中的堅毅以其沉靜而又充滿力量的文字，描繪了戰後的殘破景象，以及在黑暗中，人性所展現出的韌性與對未來的期盼。,知行書坊,中文,991,742,15,https://lh3.googleusercontent.com/pw/AP1GczOhmUSp86kL9Ze6C5AdgC3zQwglVLbT5I-3O-9ePwdsBYdjHdmTyH1_2AXvkZq3hUyjNH7Iolb-0zsisqR5a3SaFGD91m4zIVkMkmAOscvGR_dczh6nJFO-e8L_TXxyAgwXpJH_Bwh8G6AF3QFBK5px=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-825688-9,藝術設計類,繪畫,,色彩的筆尖：揮灑創意與情感,艾瑞安·影月,艾瑞安·影月以其獨特的視角，深入探索了色彩在藝術創作中的無限可能。本書不僅是一本實用的繪畫技巧指南，更是一次充滿啟發的心靈之旅。從基礎的色彩理論到進階的混色技巧，從水彩的流動寫意到油畫的厚重質感，艾瑞安·影月引導讀者透過畫筆，將內心的情感與創意自由地釋放於畫布之上。書中穿插了大量精美的畫作範例，以及藝術家本人對於色彩的深刻感悟和創作心得。無論您是初學者還是經驗豐富的畫家，都能從本書中汲取靈感，找到屬於自己的色彩語言，讓每一筆都充滿生命力，在色彩的世界裡，揮灑出獨一無二的藝術篇章。,星辰出版社,中文,204,560,174,https://lh3.googleusercontent.com/pw/AP1GczNqxw_enfApOHCXNlf3_B-e_X2MRjsujte3kUxfJR-eI9IlfTvSckFEOsn3MhM9LtEoNf-_gbQdFwtJ1itSHga4hZmflIsIdnjck-OOJcWhun20UsjgHFtLPZ9jJUmwAW7lw7a85gfNOHKKZpCdZcac=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-888953-2,文學小說類,散文,,指尖的溫度：感受自然的輕柔,艾瑞安·影月,在喧囂的都市生活中，我們常常忽略了身邊細微的美好。艾瑞安·影月以其敏銳的觀察力和溫柔的筆觸，引導讀者重新發現自然界中那些容易被忽略的觸感與詩意。本書並非傳統的自然科普，而是一次感官的喚醒之旅。透過作者在不同季節、不同場景下的細膩描寫，讀者彷彿也能感受到微風拂過指尖的輕柔，泥土的粗糙與溫潤，花瓣的絲滑與嬌嫩，以及陽光灑在肌膚上的暖意。本書鼓勵讀者放慢腳步，用心去觸摸、去感受周圍的世界，從最細微的觸感中，體驗大自然賦予我們的寧靜與美好，重拾與自然的親密連結。,星辰出版社,中文,294,406,29,https://lh3.googleusercontent.com/pw/AP1GczMhcx2Pqxr2e1s1Wepx1VBZeTU63NeDPkpkw7LI2hhGqqEjEyNzo6Uj_SvVMd8GeBDAsJ3i8fVw4um1ZWE5HCHVfR_n9XXIGYIyVD9YLG3gUheuPixXRGP5BcIpTax1NVvou7aXCfvvHfVndPGr3ggG=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-642368-0,人文思想類,哲學,,靜夜之思：光影中的存在與冥想,薇薇安·夜歌,薇薇安·夜歌以其富有哲理的文字，探討了在靜謐的夜晚和光影交織中，人類對於存在、意義和內在自我的深刻思考。本書並非傳統的哲學著作，而更像是一部引導心靈沉澱的散文集。作者透過對夜晚的細膩描寫，以及對光影變幻的敏銳捕捉，引領讀者進入一個沉靜而內省的世界。在夜的寂靜中，我們更容易傾聽內心的聲音，審視自己的存在。在光影的流動中，我們更能體悟生命的無常與變化。薇薇安·夜歌以其獨特的感悟，啟發讀者在日常生活中更深刻地理解自我與宇宙的關係，在紛擾的世界中找到內心的寧靜。,燭光書社,中文,213,834,239,https://lh3.googleusercontent.com/pw/AP1GczNouc2VpPjfAn4jsLQToE7CGhwjXVuXagkRWz6I0Il0ADph3jIiP9y7b50bZoINYHHORWeeuzymoaSQPmKGyO2WR-z485lzRLft5Ji30PyRLStaduBWC5C_hawQ4q9tA4eaBn0bQDmKrTOfX9r1lRpm=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-982387-0,藝術設計類,建築,建築的語言,光影的構圖：簡約中的建築詩學,建築大師,被譽為「建築大師」的作者，在本書中闡述了其獨特的建築設計理念——簡約主義。他認為，真正的美並非繁複的堆砌，而是透過精心的構圖和對光影的巧妙運用，在簡潔的線條和空間中，營造出富有詩意的建築作品。本書深入剖析了多個經典的簡約建築案例，從建築的結構、材料的選擇，到光線的引入和空間的布局，都進行了細緻的解讀。作者不僅分享了他的設計哲學，更引導讀者欣賞簡約建築背後所蘊含的深層思考，以及如何在看似簡單的 forms 中，感受到豐富的空間層次和精神內涵，領略建築作為一種時間與空間藝術的永恆魅力。,燭光書社,中文,341,994,67,https://lh3.googleusercontent.com/pw/AP1GczPy1vlsKdHjQ0BJzYzc2vvCMCv6NmDLVAA-wogUblEflHLD4A-2JNiKm3xTcq8D8prI3q6VGxFlINU-vEluwoYMRGbSF1sK52UxDqES8-rVxkFy68Kkg3gsxgJ8OAPJv04MlaqpqI9tI4n1I1N40ClR=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-684170-7,人文思想類,宗教,光與影的信箋,潮汐的印記：探尋古老信仰的邊界,薇薇安·夜歌,薇薇安·夜歌以其淵博的知識和細膩的筆觸，帶領讀者踏上一段追溯古老信仰的旅程。本書以矗立在潮汐之間的神秘鳥居為引，深入探討了人類早期對於自然力量的敬畏與崇拜，以及由此衍生的種種信仰儀式和文化習俗。作者不僅考察了鳥居的歷史淵源和象徵意義，更將視野擴展到世界各地類似的臨水建築和祭祀場所，探尋它們所共同承載的人類對於神聖空間的理解和表達。透過豐富的歷史文獻、考古資料和人類學研究，薇薇安·夜歌揭示了潮汐如何塑造了古老信仰的邊界，以及這些印記如何在現代社會中依然潛移默化地影響著我們的文化和精神世界。,燭光書社,中文,339,374,75,https://lh3.googleusercontent.com/pw/AP1GczNGwH5kMMbENMTTYuTD42L1M-p1DQPQ3GPS0BQtbyS9jc-SX_zDfO0_JzZ0-px42uY1vA6uxJRzxylABakqwuGBjRXoyoBszgJ_eMZ0IrwwG6fgfWUDJybHKOFei64eoIHxF4JmkCeEgsIaJF7tdx7q=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-487111-8,自然科學類,科學,,瞬息的晶體：凝固時間的科學之美,KAI-37,代號 KAI-37 的科學家，以其獨特的藝術家視角，探索了微觀世界中晶體結構的神奇與美麗。本書並非枯燥的科學報告，而是一次結合了科學嚴謹性與藝術欣賞性的視覺盛宴。透過精美的顯微攝影圖片，KAI-37 向讀者展示了冰晶、鹽晶、礦物晶體等在形成過程中呈現出的千變萬化的形態和色彩。他深入淺出地解釋了晶體形成的物理和化學原理，同時也著重描繪了這些微觀結構所蘊含的幾何美學和自然規律。本書旨在引導讀者以全新的視角觀察我們周圍的世界，發現隱藏在微小事物中的科學之美，感受大自然鬼斧神工的創造力，以及科學探索所帶來的驚奇與震撼。,星辰出版社,中文,261,352,143,https://lh3.googleusercontent.com/pw/AP1GczOarzFemAnOiJDuqh2C5gXKE_SKQokhkx9xCzFBq2MdFArEw9pvO7_4hYsLeYXk7lVTPqUcq7Sdn3SjBXyRvDzxF2q3j8eSz3CGOGljn5EwGR4wekg7N9YFgi0UxEv3IeInpuwSY5_ZdcEcP_-JQXSJ=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-585404-7,自然科學類,科學,,藍色星球的脈動：晝夜交替與文明之光,KAI-37,代號 KAI-37 的科學家，以其宏大的視野，從宇宙的角度審視了我們所居住的地球。本書以地球的晝夜交替為切入點，深入探討了地球的自轉、光照、氣候變化等自然現象，以及這些自然節律如何塑造了地球上的生命和文明。透過壯麗的衛星圖像和深入淺出的科學解釋，KAI-37 展示了地球這個複雜而精密的生態系統是如何運作的。同時，本書也將視角轉向人類文明，探討了城市燈光在地球夜景中的璀璨，以及這背後所代表的人類活動、科技發展和文化交流。本書旨在引導讀者認識我們星球的獨特性和脆弱性，以及人類文明在宇宙中的位置和責任。,燭光書社,中文,363,949,20,https://lh3.googleusercontent.com/pw/AP1GczMlkiEJM52y5is0QHXsBib46VE8653pYndeCjrS7-1b3pZDxuZrL9OHNMtpMngFeAdoroYx6fDysZE0TwpV7ZUoh6mkJ8kuZ7BiBd_PAJ9WCAQj8DmiFoQiTKkIr0OooIIy5b6lggJz0GIOGcMXXCqX=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-603288-4,人文思想類,宗教,光與影的信箋,信仰的仰望：在光與影中追尋,薇薇安·夜歌,薇薇安·夜歌再次以其深刻的洞察力，探討了人類對於信仰的普遍渴望和在光與影之間的心靈追尋。本書並非特定的宗教研究，而是一次對人類精神層面的普遍探索。作者透過對不同文化、不同信仰中光與影意象的分析，揭示了光明常常象徵著希望、真理和神聖，而黑暗則往往代表著未知、恐懼和邪惡。然而，真正的信仰往往存在於光與影的交織之中，在迷茫中尋找方向，在黑暗中堅守希望。薇薇安·夜歌以其富含哲理的文字，引導讀者反思自身對於信仰的理解，以及如何在人生的旅程中，在光與影的變幻中，找到屬於自己的精神寄託。,燭光書社,中文,405,450,42,https://lh3.googleusercontent.com/pw/AP1GczN5a7OkSdogNpG1rPI36-vX8QzP2f2vIRrM3dyCv4CeXyS6PBf9pBjM827-QC2xZiKkUPzy80JwNdqzabGcl3f3BYFQelAlZ6qbzGRHmT13jgTg-v5nrxLzzvKDVtB-6vaBAxUK4B_qVFgCpuooU3K8=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-129241-9,藝術設計類,建築,建築的語言,鏡像的效率：現代建築的設計與理念,建築大師,被譽為「建築大師」的作者，在本書中深入探討了現代建築設計中對於鏡面和反射的巧妙運用。他認為，鏡面不僅可以擴展空間的視覺感，更能夠創造出獨特的視覺效果，模糊內外邊界，增強建築與周圍環境的互動。本書透過大量的案例分析，展示了鏡面在不同類型的現代建築中的應用，例如玻璃幕牆、水面倒影、金屬立面等。作者不僅從設計美學的角度進行了闡述，更探討了鏡面在提升建築能源效率、改善室內光環境等方面的實際應用。本書旨在引導建築師和設計師們更深入地理解和運用鏡面元素，創造出既美觀又實用的現代建築作品。,星辰出版社,中文,214,641,143,https://lh3.googleusercontent.com/pw/AP1GczOwZfe-Z1LDZ92u_rJ4emKh96VToCehCq0mCGc1nUmsjhXfJXtOcjD757yQCKvwXbOx2BIz3D0SOCBwgGYb1JV_SBGIdyxrsj6sHX-398vejfL9BNf1BH5WrLmPJ7mMKO5QjoyhjDYacQlA82R-lwWh=w460-h580-s-no-gm?authuser=0,查看圖片
